posto;inicio;vhp;fhp
1;2016-08-12 17:00:00;2299;0.250
2;2016-08-12 16:00:00;2675;0.250
3;2016-08-12 17:00:00;726;0.250
4;2016-08-12 17:00:00;635;0.250
5;2016-08-12 17:00:00;533;0.250
6;2016-08-12 17:00:00;1506;0.250
7;2016-08-12 17:00:00;1748;0.250
8;2016-08-12 17:00:00;2140;0.250
9;2016-08-12 17:00:00;3002;0.250
10;2016-08-12 16:00:00;2808;0.250
