shapeid,partid,x,y,gid,id,zona,nome_zona,X_for,Y_for
0,,-48.5933306667,-27.5891170455,""9"",9.000000000000000,""11009"",Coloninha,-48.593000,-27.589000
1,,-48.5552992851,-27.5896541567,""39"",39.000000000000000,""11039"",Centro (Colégio Catarinense),-48.555000,-27.589000
2,,-48.5026987784,-27.6752945663,""107"",107.000000000000000,""11107"",Campeche Central,-48.502000,-27.675000
3,,-48.4723033249,-27.6013934875,""114"",114.000000000000000,""11114"",Lagoa,-48.472000,-27.601000
4,,-48.5146399348,-27.500980066699,""145"",145.000000000000000,""11145"",Campus CESUSC,-48.514000,-27.500000
5,,-48.4038046211,-27.4439312735,""152"",152.000000000000000,""11152"",Capivari / Ingleses Centro,-48.403000,-27.443000
