gid,id,zona,nome_zona,X_for,Y_for
"9",9.000000000000000,"11009",Coloninha,-48.593000,-27.589000
"39",39.000000000000000,"11039",Centro (Colégio Catarinense),-48.555000,-27.589000
"107",107.000000000000000,"11107",Campeche Central,-48.502000,-27.675000
"114",114.000000000000000,"11114",Lagoa,-48.472000,-27.601000
"145",145.000000000000000,"11145",Campus CESUSC,-48.514000,-27.500000
"152",152.000000000000000,"11152",Capivari / Ingleses Centro,-48.403000,-27.443000
"999",999.000000000000000,"999",UFSC,-48.519000,-27.601000
