shapeid;partid;x;y;gid;id;zona;nome_zona
86;;-485.144.527.406;-276.095.063.352;86;86.000.000.000.000.000;11086;Pantanal (Leste)
87;;-485.204.504.876;-276.121.308.151;87;87.000.000.000.000.000;11087;Pantanal (Oeste)
88;;-485.315.077.972;-276.607.080.098;88;88.000.000.000.000.000;11088;ResEx Marinha do Pirajubaé
89;;-485.331.038.494;-276.655.588.068;89;89.000.000.000.000.000;11089;Carianos / Ressacada
90;;-485.502.487.066;-276.736.863.896;90;90.000.000.000.000.000;11090;Aeroporto / Base Aérea
91;;-485.393.603.164;-27.683.583.717;91;91.000.000.000.000.000;11091;Campus UFSC (Faz Exp) / CELESC
92;;-485.603.500.075;-276.888.065.823;92;92.000.000.000.000.000;11092;Tapera da Base
93;;-485.392.480.591;-276.926.987.509;93;93.000.000.000.000.000;11093;Pedregal / Morro do Peralta
94;;-485.294.823.695;-277.053.980.238.999;94;94.000.000.000.000.000;11094;Alto Ribeirão
95;;-48.558.567.653;-277.273.019.247.999;95;95.000.000.000.000.000;11095;Costeira do Ribeirão (Norte)
96;;-485.654.431.611;-277.841.373.205;96;96.000.000.000.000.000;11096;Costeira do Ribeirão (Sul)
97;;-48.542.130.764;-277.568.686.149.999;97;97.000.000.000.000.000;11097;Ribeirão da Ilha / Parque Lagoa do Peri
98;;-485.152.527.283;-276.915.759.597;99;99.000.000.000.000.000;11099;Autódromo / Moenda
99;;-484.997.254.564;-276.987.769.782;100;100.000.000.000.000.000;11100;Campeche Sul / Moenda / Pedrita
100;;-4.850.647.534;-277.125.241.128;101;101.000.000.000.000.000;11101;Pedrita / Morro das Pedras
101;;-485.089.053.518;-277.399.872.953;102;102.000.000.000.000.000;11102;Armação
102;;-485.144.640.222;-277.704.426.909;103;103.000.000.000.000.000;11103;Pântano do Sul / Açores
103;;-484.758.597.117;-276.491.722.096;104;104.000.000.000.000.000;11104;Rio Tavares / Lagoa Pequena / Pedrita
104;;-484.916.803.465;-276.626.054.094;105;105.000.000.000.000.000;11105;Rio Tavares Central
105;;-484.798.664.137;-276.665.215.347;106;106.000.000.000.000.000;11106;Campeche Norte / Lagoa Pequena
106;;-485.026.987.784;-276.752.945.663;107;107.000.000.000.000.000;11107;Campeche Central
107;;-484.879.855.843;-276.837.980.408;108;108.000.000.000.000.000;11108;Campeche Leste / Campeche Norte
108;;-484.281.751.772;-275.842.433.677;111;111.000.000.000.000.000;11111;Barra da Lagoa
109;;-484.434.653.359;-27.610.308.452;112;112.000.000.000.000.000;11112;Retiro / Porto da Lagoa / Praia Mole
110;;-484.723.033.249;-276.013.934.875;114;114.000.000.000.000.000;11114;Lagoa
111;;-48.483.707.121;-276.176.306.469;115;115.000.000.000.000.000;11115;Canto da Lagoa
112;;-484.639.121.509;-27.618.133.745;117;117.000.000.000.000.000;11117;Dunas da Lagoa
113;;-484.723.724.894;-27.631.139.604;119;119.000.000.000.000.000;11119;Porto da Lagoa
114;;-485.115.787.833;-27.540.168.252.099;120;120.000.000.000.000.000;11120;Cacupé / Saco Grande
115;;-484.935.924.423;-275.390.308.484;121;121.000.000.000.000.000;11121;Saco Grande
116;;-484.879.314.625;-275.635.908.874;122;122.000.000.000.000.000;11122;Monte Verde
117;;-485.087.675.251;-275.579.133.347.999;123;123.000.000.000.000.000;11123;João Paulo (Norte)
118;;-485.161.840.834;-275.636.520.316.999;124;124.000.000.000.000.000;11124;João Paulo (Central)
119;;-485.112.518.185;-275.676.466.578;125;125.000.000.000.000.000;11125;João Paulo (Sul)
120;;-485.044.832.957;-275.697.486.064;126;126.000.000.000.000.000;11126;Itacorubi / Parque Tec Alfa
121;;-485.140.760.306;-27.574.997.665;127;127.000.000.000.000.000;11127;Itacorubi / Vila Marianna
122;;-48.505.199.394;-275.787.580.806.999;128;128.000.000.000.000.000;11128;Itacorubi
123;;-485.011.999.753;-275.879.013.335;130;130.000.000.000.000.000;11130;Itacorubi / Santa Mônica
124;;-484.979.543.115;-275.853.171.531;131;131.000.000.000.000.000;11131;Itacorubi (Condomínios)
125;;-48.493.559.485;-275.788.572.979;132;132.000.000.000.000.000;11132;Itacorubi (Morros)
126;;-484.774.129.276;-275.855.917.045;133;133.000.000.000.000.000;11133;Itacorubi / Morro da Lagoa da Conceição
127;;-484.900.033.015;-275.994.347.882;134;134.000.000.000.000.000;11134;Morro da Lagoa
128;;-484.948.237.788;-275.926.686.349;135;135.000.000.000.000.000;11135;Itacorubi / Parque São Jorge
129;;-484.599.433.018;-274.883.842.907.999;136;136.000.000.000.000.000;11136;Vargem Pequena / Ratones
130;;-484.793.227.809;-27.511.092.312;137;137.000.000.000.000.000;11137;Ratones
131;;-484.634.733.934;-2.743.719.056.799;138;138.000.000.000.000.000;11138;Canasvieiras
132;;-484.719.425.889;-274.584.233.959;139;139.000.000.000.000.000;11139;Vargem de Fora / Canasvieiras
133;;-484.895.468.721;-274.438.252.017;140;140.000.000.000.000.000;11140;Jurere Leste
134;;-485.127.147.413;-274.419.962.036;141;141.000.000.000.000.000;11141;Jurere Oeste
135;;-485.318.406.062;-274.499.726.402;142;142.000.000.000.000.000;11142;Daniela
136;;-485.061.863.262;-274.633.054.817;143;143.000.000.000.000.000;11143;Jurere
137;;-485.140.566.723;-274.831.832.398;144;144.000.000.000.000.000;11144;Sambaqui
138;;-485.146.399.348;-27.500.980.066.699;145;145.000.000.000.000.000;11145;Campus CESUSC
139;;-485.109.817.044;-275.120.352.654;146;146.000.000.000.000.000;11146;Santo Antônio / Recanto dos A�ores
140;;-485.243.281.773;-275.350.956.774.999;147;147.000.000.000.000.000;11147;Cacupé
141;;-484.210.472.781;-274.015.731.696;148;148.000.000.000.000.000;11148;Ponta das Canas / Praia Brava
142;;-484.223.713.941;-274.286.088.156;149;149.000.000.000.000.000;11149;Cachoeira do Bom Jesus / Praia Brava
143;;-484.375.319.171;-27.432.502.699;150;150.000.000.000.000.000;11150;Cachoeira do Bom Jesus
144;;-484.068.691.944;-274.267.122.813;151;151.000.000.000.000.000;11151;Ingleses Centro / Ingleses Norte
145;;-484.038.046.211;-274.439.312.735;152;152.000.000.000.000.000;11152;Capivari / Ingleses Centro
146;;-484.055.329.601;-274.561.920.981;153;153.000.000.000.000.000;11153;Capivari
147;;-483.804.529.364;-274.538.958.696;154;154.000.000.000.000.000;11154;Ingleses Sul / Santinho
148;;-48.408.181.482;-274.738.858.732;155;155.000.000.000.000.000;11155;Muquém
149;;-48.398.216.028;-274.910.996.859.999;156;156.000.000.000.000.000;11156;Morro das Aranhas / Mo�ambique
150;;-484.154.854.703;-27.498.507.282.399;157;157.000.000.000.000.000;11157;São João do Rio Vermelho
151;;-48.435.238.586;-274.548.836.929;158;158.000.000.000.000.000;11158;Vargem do Bom Jesus / Vargem Grande
152;;-484.348.625.449;-27.482.773.471;159;159.000.000.000.000.000;11159;Vargem Grande
153;;-486.031.473.908;-275.753.228.744;161;161.000.000.000.000.000;12001;Barreiros (Orla Sudeste)
154;;-486.048.058.399;-27.581.493.535;162;162.000.000.000.000.000;12002;Barreiros (Centro-Sudeste)
155;;-486.085.144.559;-275.841.317.874.999;163;163.000.000.000.000.000;12003;Barreiros (Sul)
156;;-486.098.257.291;-275.990.816.385;164;173.000.000.000.000.000;12013;Campinas (Sul)
157;;-486.090.357.926;-275.882.014.162.999;165;181.000.000.000.000.000;12021;Campinas (Norte)
158;;-486.121.110.653;-275.905.742.134;166;182.000.000.000.000.000;12022;Campinas / Kobrasol
159;;-486.101.030.846;-275.952.607.362;167;186.000.000.000.000.000;12026;Campinas (Central)
160;;-486.081.449.992;-275.929.276.297;168;187.000.000.000.000.000;12027;Campinas (Centro-Norte)
161;;-48.606.087.974;-275.977.699.282;169;188.000.000.000.000.000;12028;Campinas (Centro-Sul)
